Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
Bakso Lapangan Tembak Senayan,3,"Bakso, Indonesia",65000,"Senayan, Jakarta",1
A Fung Baso Sapi Asli,3.3,Bakso,65000,"Senayan City, Senayan, Jakarta",1
Gelato Secrets,2.8,Ice Cream,65000,"Citywalk Sudirman, Sudirman, Jakarta",1
Crunchaus Salads,3.5,Makanan Sehat,65000,"Plaza Senayan, Senayan, Jakarta",1
Baskin Robbins,3.2,"Ice Cream, Desserts",65000,"Senayan City, Senayan, Jakarta",1
Goedkoop,4.3,"Kafe, Kopi, Belanda",65000,"Bendungan Hilir, Jakarta",1
Kaffeine Kline,3.8,"Kopi, Indonesia, Barat",65000,"Mampang Prapatan, Jakarta",1
Chicken Run,3.7,Grill,65000,"Senopati, Jakarta",1
Sate Mak Syukur,3.6,"Satay, Padang",65000,"Pasaraya Grande, Melawai, Jakarta",1
RBoJ Coffee,4.1,Kopi,65000,"Pasar Minggu, Jakarta",1
Coffee Life,4.1,"Kopi, Indonesia, Itali",65000,"Fatmawati, Jakarta",1
Something Good,3.3,"Indonesia, Kopi, Desserts, Barat, Finger Food",65000,"Ruko Taman Hijau, Pondok Indah, Jakarta",1
Tous Les Jours,4.1,"Kue & Roti, Kopi, Tea",68000,"Senayan City, Senayan, Jakarta",1
Torico Restaurant,2.7,"Sushi, Ramen, Jepang",70000,"fX Sudirman, Sudirman, Jakarta",1
Berlin Doner,4,"Kebab, Makanan Cepat Saji, Turki",70000,"fX Sudirman, Sudirman, Jakarta",1
Golden Lamian,4,"Bakmi, Chinese",70000,"Senayan City, Senayan, Jakarta",1
Kopilojik,3.8,"Kopi, Burger, Indonesia",70000,"Tebet, Jakarta",1
Woodpecker Coffee,4.2,"Desserts, Tea, Kopi",70000,"Dharmawangsa, Jakarta",1
FRI3NDS.CO,3.5,"Kopi, Indonesia, Itali",70000,"Blok M, Jakarta",1
Mikkro Espresso,4,"Kopi, Kue & Roti, Asia",75000,"Senayan, Jakarta",1
11:11,3.6,"Kopi, Tea, Desserts",75000,"Senayan City, Senayan, Jakarta",1
Chill in Kafe,3.5,"Barat, Jawa, Indonesia",75000,"STC Senayan, Senayan, Jakarta",1
Ya Kun Kaya Toast,3,Malaysia,75000,"Plaza Senayan, Senayan, Jakarta",1
HokBen Express,3,"Makanan Cepat Saji, Jepang",75000,"Plaza Senayan, Senayan, Jakarta",1
Solaria,2.8,"Indonesia, Chinese",75000,"Senayan Park, Senayan, Jakarta",1
Barapi Meat and Grill,4.1,Steak,75000,"Palmerah, Jakarta",1
Grand Chuan Tin,3.7,"Chinese, Dimsum",75000,"Pacific Place, SCBD, Jakarta",1
Mori Express,4.7,Jepang,75000,"Office 8, Senopati, Jakarta",1
Wakacao Beef Pepper Rice,4,Indonesia,75000,"Palmerah, Jakarta",1
Café Kitsuné,2.5,Indonesia,75000,"SCBD, Jakarta",1
Hoghock,4,Asia,75000,"Citywalk Sudirman, Sudirman, Jakarta",1
K-Kitchen,3.8,Korea,75000,"Senayan City, Senayan, Jakarta",1
Warung Koffie Batavia,3.6,"Kafe, Indonesia",75000,"Senayan City, Senayan, Jakarta",1
Old Town White Coffee,3.4,"Kopi, Peranakan, Asia, Tea",75000,"Senayan, Jakarta",1
Rempah Kita,3.8,Indonesia,75000,"Senayan City, Senayan, Jakarta",1
QQ Kopitiam,3.2,"Peranakan, Indonesia, Desserts",75000,"Rukan Permata Senayan, Senayan, Jakarta",1
Sawangan Resto,3.5,Asia,75000,"Senayan, Jakarta",1
SHABUKAMA,3.3,Jepang,75000,"Senayan, Jakarta",1
On Three,4.6,"Kafe, Desserts, Kopi, Tea",75000,"SCBD, Jakarta",1
Kabuto Black,3.7,Jepang,75000,"Pacific Place, SCBD, Jakarta",1
Berrywell,3.5,Makanan Sehat,75000,"Citywalk Sudirman, Sudirman, Jakarta",1
U-Thai Kafe & Resto,3.6,"Thai, Chinese",75000,"SCBD, Jakarta",1
Puput,3.7,"Chinese, Indonesia",75000,"World Trade Center 2, Sudirman, Jakarta",1
IWS Kafe & Noodle,3.3,Bakmi,75000,"Pacific Place, SCBD, Jakarta",1
Shanghai Garden,3.8,"Chinese, Indonesia",75000,"IDX, SCBD, Jakarta",1
Barbekyu Chicken Express,3.9,Korea,75000,"Senayan, Jakarta",1
Warung Buntut Bang Jack,3.5,Indonesia,75000,"Plaza Senayan, Senayan, Jakarta",1
Fudgy Bro,3.5,Desserts,75000,"Senayan, Jakarta",1
KFC,3.1,"Makanan Cepat Saji, Amerika",75000,"Senayan City, Senayan, Jakarta",1
Eaton,3.3,"Indonesia, Chinese, Kue & Roti",75000,"Plaza Senayan, Senayan, Jakarta",1
Waroeng Kita,2.8,Indonesia,75000,"Plaza Senayan, Senayan, Jakarta",1
Sushi King,3.2,"Jepang, Sushi",75000,"Senayan City, Senayan, Jakarta",1
Kuppie Coffee,3.9,Kafe,75000,"STC Senayan, Senayan, Jakarta",1
The Cortado,3.8,"Kafe, Kopi, Tea",75000,"Palmerah, Jakarta",1
Coteca,4,"Kafe, Itali, Kopi, Tea, Desserts",75000,"Palmerah, Jakarta",1
Kedai Inn,3.2,"Kafe, Asia",75000,"Sudirman, Jakarta",1
Kopitiam,3.3,"Kopi, Peranakan",75000,"IDX, SCBD, Jakarta",1
HokBen,3.6,"Makanan Cepat Saji, Jepang",75000,"Plaza Semanggi, Sudirman, Jakarta",1
Walking Drums,4.3,Indonesia,75000,"Blok M, Jakarta",1
Pigeonhole Coffee,4.4,"Kopi, Barat",75000,"Bintaro, Jakarta",1
Bakmi Tiga Marga,3.7,"Bakmi, Chinese",75000,"Kebayoran Lama, Jakarta",1
Selawaktu Coffee,3.7,"Kopi, Asia",75000,"Tebet, Jakarta",1
Bil's Coffee,3.8,"Kopi, Desserts",75000,"CIBIS NINE, Cilandak, Jakarta",1
Lula Kitchen & Coffee,4,"Kafe, Kopi, Tea, Desserts",75000,"Dharmawangsa, Jakarta",1
Greenwood Coffee,3.9,"Kopi, Asia, Itali",75000,"Pondok Indah, Jakarta",1
Commonroom Coffee,4,"Kafe, Kopi, Barat",75000,"Fatmawati, Jakarta",1
X Coffee - Hotel NEO Tendean,3.2,"Kafe, Kopi, Tea",75000,"Senopati, Jakarta",1
Segafredo,3.6,"Kafe, Itali, Kopi",75000,"Kota Kasablanka, Tebet, Jakarta",1
Cozyfield Kafe,3.9,"Indonesia, Kafe, Roti, Kopi, Tea",75000,"Pondok Indah Mall 1, Pondok Indah, Jakarta",1
Griyo Kulo Resto,3.7,Jawa,75000,"Jagakarsa, Jakarta",1
Koffie Nation,3.7,"Kafe, Indonesia",75000,"Epicentrum Walk, Kuningan, Jakarta",1
Bebek Dower,3.0,Indonesia,75000,"Plaza Festival, Kuningan, Jakarta",1
SIKU,4.1,"Desserts, Indonesia, Amerika, Kopi, Tea",75000,"Dharmawangsa, Jakarta",1
Bukan Ruang,4.2,"Kopi, Kafe, Indonesia, Barat",75000,"Kemang, Jakarta",1
Sama Dengan,4.2,"Kafe, Kopi, Tea",75000,"Kalibata City Square, Kalibata, Jakarta",1
Terroir Coffee & Eats,4.1,"Steak, Itali, Indonesia, Kopi",75000,"Dharmawangsa, Jakarta",1
LEMONDISCOFISH,4.2,"Kopi, Desserts, Ice Cream",75000,"Kemang, Jakarta",1
Kerang Kiloan Pak Rudi,3.5,"Makanan Jalanan, Seafood",75000,"Blok M, Jakarta",1
SABA,3.6,"Asia, Barat, Kopi",75000,"Cilandak, Jakarta",1
Loteng,2.7,"Kafe, Amerika, Itali",75000,"Tebet, Jakarta",1
Kopikina,4.1,"Kafe, Kopi",75000,"Tebet, Jakarta",1
Ol' Pops Coffee,4.1,"Kopi, Camilan",75000,"Bintaro, Jakarta",1
La Boheme Coffee,4.1,"Kafe, Kopi, Barat",75000,"Setiabudi, Jakarta",1
Selera Meneer,4,Jawa,75000,"Gandaria, Jakarta",1
Bersahaja.id,2.2,"Kopi, Indonesia",75000,"Pondok Indah, Jakarta",1
Homepage,4,"Kopi, Tea, Desserts",75000,"Setiabudi, Jakarta",1
BRUNO Kafe in the Park,2.1,"Kopi, Barat",75000,"Pasar Minggu, Jakarta",1
Sam's Strawberry Corner,3.9,"Bakmi, Jus, Indonesia",75000,"Dharmawangsa, Jakarta",1
KOPIKOBOY,3.1,"Indonesia, Barat",75000,"Pondok Indah, Jakarta",1
Bentala Coffee & Eatery,3.9,"Asia, Roti, Kafe, Desserts, Barat",75000,"Bintaro, Jakarta",1
Ikan Bakar Manado,3.7,Manado,75000,"Lebak Bulus, Jakarta",1
Kebun Ide,3.7,Ice Cream,75000,"M Bloc Space, Senopati, Jakarta",1
Ayam Goreng Suharti,3.5,Jawa,75000,"Cilandak, Jakarta",1
Dapur Javara by Javara Culture,3.9,"Indonesia, Jawa, Makanan Sehat Food, Kopi",75000,"Kemang, Jakarta",1
Kopikir! Coffee & TV,3.1,"Kafe, Kopi",75000,"Kemang, Jakarta",1
Pecel Pincuk Godong Ijo,3.7,Jawa,75000,"Bintaro, Jakarta",1
G'litik Indonesia Eatery,3.5,Indonesia,75000,"Senopati, Jakarta",1
Maem,2.5,"Indonesia, Makanan Jalanan",75000,"Cilandak, Jakarta",1
Plante Coffee and Plants,3.4,"Kafe, Kopi, Desserts",75000,"Pondok Indah, Jakarta",1
Kedai Disto,2.9,Seafood,75000,"Fatmawati, Jakarta",1
Lawless Burgerbar,4.7,Burger,75000,"Kemang, Jakarta",1
Gordi HQ,4.3,Kopi,75000,"Cilandak, Jakarta",1
Fillmore Coffee,4.4,Kafe,75000,"Setiabudi, Jakarta",1
Warung Pasta,4,"Asia, Itali",75000,"Kemang, Jakarta",1
Fish Streat,4.2,"Seafood, Barat",75000,"Pondok Indah, Jakarta",1
Smarapura,4.3,"Bali, Indonesia",75000,"Tebet, Jakarta",1
Ciknic Roast Chicken,4.5,Barat,75000,"Ruko Dharmawangsa Square, Dharmawangsa, Jakarta",1
Akasya Express,4.5,"Jawa, Indonesia",75000,"Kemang, Jakarta",1
Martabak Boss,3.6,"Martabak, Makanan Jalanan",75000,"Tebet, Jakarta",1
Popmeat Warung Steak,3.4,Grill,75000,"Tebet, Jakarta",1
Opiopio Kafe & Lounge,4,"Asia, Kafe, Barat",75000,"Pondok Indah, Jakarta",1
Selow The Barbekyu Artisans,4.1,"Asia, Barbekyu",75000,"Lebak Bulus, Jakarta",1
Kopi Kitchen,3.6,Kafe,75000,"Kemang Village, Kemang, Jakarta",1
Mood Wellness Studio and Kitchen,3.8,"Kafe, Barat, Makanan Sehat Food",75000,"Kemang, Jakarta",1
Lokal Deli Coffee and Cakes,3.7,"Kafe, Desserts",75000,"Como Park, Kemang, Jakarta",1
Sallo Innyan Restaurant,3.6,"Seafood, Beverages, Kalimantan",75000,"Tebet, Jakarta",1
Belly Bandit,3.9,"Amerika, Burger",75000,"Bintaro, Jakarta",1
Kiasan Coffee,3.3,"Barat, Kafe, Kopi",75000,"Kemang, Jakarta",1
BarBurger,3.8,"Burger, Barat",75000,"Ampera Garden, Cilandak, Jakarta",1
Raja's Coffee,3.5,"Kopi, Indonesia, Barat",75000,"Menara Bidakara, Gatot Subroto, Jakarta",1
Bean Me Up,3.8,"Barat, Indonesia, Kopi",75000,"Equity Tower, SCBD, Jakarta",1
Canary Coffee Shop - Aston Priority Simatupang,3.5,Kopi,75000,"Aston Priority Simatupang, Cilandak, Jakarta",1
Netijen Kafe,3.3,Kafe,75000,"Jagakarsa, Jakarta",1
Jack/Rose,4.6,"Kafe, Kopi",75000,"Dharmawangsa, Jakarta",1
Busy Beans,2.9,"Kopi, Camilan, Indonesia",75000,"Dharmawangsa, Jakarta",1
Johnny Rockets,3.1,"Burger, Amerika",80000,"Sahid Sudirman Center, Sudirman, Jakarta",1
Maxx Corner,3.9,"Kopi, Tea, Itali, Barat",80000,"Plaza Semanggi, Sudirman, Jakarta",1
Chatter Box,3.9,"Peranakan, Chinese, Barat",80000,"Plaza Senayan, Senayan, Jakarta",1
Monocle Coffee,4.1,"Kopi, Makanan Sehat, Barat, Asia",80000,"Senayan, Jakarta",1
Restoran Sederhana,3.3,"Padang, Indonesia",80000,"Senayan, Jakarta",1
Stack,3.2,Barat,80000,"Senopati, Jakarta",1
7 Speed Coffee,4.3,"Kopi, Itali, Desserts",80000,"Kemang, Jakarta",1
3K Coffee,4.3,Kafe,80000,"Kemang, Jakarta",1
You Coffee and Resto,4.3,"Kopi, Indonesia, Barat",80000,"Jagakarsa, Jakarta",1
Kopi Boutique,4.1,"Kopi, Camilan",80000,"Fatmawati, Jakarta",1
Oeang Restaurant Roastery and Bar,3.6,"Asia, Barat, Kopi",80000,"M Bloc Space, Senopati, Jakarta",1
Titik Temu Coffee,3.8,"Kopi, Desserts",80000,"M Bloc Space, Senopati, Jakarta",1
Domino's Pizza,3.6,"Pizza, Fast Food",80000,"Kemang, Jakarta",1
Pandaloka,3.7,"Chinese, Fast Food",80000,"Menara BTPN, Kuningan, Jakarta",1
Minimal Coffee and Space,3.8,"Kopi, Tea, Asia",80000,"Kemang, Jakarta",1
Kopi Buntu,3.5,Kafe,80000,"Tebet, Jakarta",1
Kaca Coffee & Eatery,3.9,"Kopi, Indonesia",85000,"Bendungan Hilir, Jakarta",1
Kopi Nalar,4.4,"Kopi, Barat",85000,"Senopati, Jakarta",1
Waroeng Solo,4.1,Jawa,85000,"Joglo @ Kemang, CIlandak, Jakarta",1
Mang Kabayan,3.9,Sunda,85000,"Bintaro, Jakarta",1
Lembur Kuring Bibet,3.6,"Seafood, Camilan, Sunda",85000,"Cilandak, Jakarta",1
Warung MJS,4.5,"Jawa, Indonesia",85000,"Setiabudi, Jakarta",1
Eighty-Eight Workspace,2.5,"Asia, Barat",85000,"Fatmawati, Jakarta",1
Nom Nom Nom,4.3,"Kafe, Barat, Asia",85000,"Bona Indah Business Center, Lebak Bulus, Jakarta",1
ShishaBar Kemang,4,"Makanan Jalanan, Indonesia",85000,"Kemang, Jakarta",1
Kedai H. Asari,3.8,"Betawi, Jawa, Soto",85000,"Jagakarsa, Jakarta",1
Carl's Jr.,3.3,"Burger, Makanan Cepat Saji",90000,"Plaza Senayan, Senayan, Jakarta",1
Negiya Express,4.3,Jepang,90000,"Citywalk Sudirman, Sudirman, Jakarta",1
Ikkudo Ichi,4.2,"Ramen, Jepang",90000,"Pacific Place, SCBD, Jakarta",1
Little India Restaurant,3.6,India,90000,"Citywalk Sudirman, Sudirman, Jakarta",1
Doma Dona Coffee,4.2,"Kopi, Asia, Itali, Barat",90000,"Dharmawangsa, Jakarta",1
Yamalu,4.2,"Kopi, Tea, Itali, Desserts",90000,"Bintaro, Jakarta",1
Up All Might,3.7,"Kopi, Barat",90000,"Kemang, Jakarta",1
Nona Manis,4,"Jawa, Indonesia, Barat",90000,"Kemang Village, Kemang, Jakarta",1
Antasore,3.6,Jepang,90000,"Fatmawati, Jakarta",1
Alenia Papua Coffee & Kitchen,4,"Kopi, Indonesia",90000,"Kemang, Jakarta",1
Dapur Solo,3.9,Jawa,90000,"Dharmawangsa, Jakarta",1
Salapan Noodle,3.7,"Indonesia, Bakmi",90000,"Fatmawati, Jakarta",1
Frescoristo,3.9,"Itali, Kafe",95000,"Pondok Indah, Jakarta",1
Restoran Beautika Manado,4.5,"Manado, Indonesia",100000,"Senayan, Jakarta",1
Abura Soba Yamatoten,4.3,Jepang,100000,"Senayan City, Senayan, Jakarta",1
Taichan,4.2,"Jepang, Sushi",100000,"Plaza Senayan, Senayan, Jakarta",1
Papa Ron's Pizza,3.7,"Pizza, Itali",100000,"Senayan, Jakarta",1
The People's Kafe,3.9,"Itali, Indonesia, Tea, Kopi",100000,"Senayan City, Senayan, Jakarta",1
O' Coffee Club,3,"Indonesia, Barat, Cemilan",100000,"Plaza Senayan, Senayan, Jakarta",1
SO PHO Vietnamese Kafe,2.8,Vietnam,100000,"Plaza Senayan, Senayan, Jakarta",1
Tamani Express,3.3,"Jawa, Indonesia, Barat",100000,"Plaza Senayan, Senayan, Jakarta",1
Ta Wan,3.8,Chinese,100000,"Plaza Senayan, Senayan, Jakarta",1
Mr. Bitsy,3.6,Asia,100000,"Fairgrounds, SCBD, Jakarta",1
Wee Nam Kee,4.2,Chinese,100000,"Pacific Place, SCBD, Jakarta",1
Ristorante Misticanza,2.9,"Pizza, Itali, Asia",100000,"Sudirman, Jakarta",1
Restaurant Sarang Oci,3,"Manado, Indonesia",100000,"Sudirman, Jakarta",1
Jade Kitchen,3.9,"Chinese, Dimsum",100000,"Pacific Place, SCBD, Jakarta",1
The Halal Guys,4,Timur Tengah,100000,"Senayan City, Senayan, Jakarta",1
Zenbu,4.1,"Sushi, Ramen, Jepang",100000,"Senayan City, Senayan, Jakarta",1
Pepper Lunch,4,Jepang,100000,"Plaza Senayan, Senayan, Jakarta",1
Blacklisted,4,"Kopi, Tea, Itali, Desserts",100000,"Rukan Permata Senayan, Senayan, Jakarta",1
Sedjuk Bakmi & Kopi,4.2,"Bakmi, Kopi",100000,"SCBD, Jakarta",1
Kimukatsu,4.4,Jepang,100000,"Pacific Place, SCBD, Jakarta",1
Liberta,3.9,Itali,100000,"Apartemen Pavilion, Sudirman, Jakarta",1
Giggle Box Kafe & Resto,3.9,"Indonesia, Barat",100000,"Plaza Semanggi, Sudirman, Jakarta",1
Fukumimi,4,"Jepang, Sushi",100000,"Citywalk Sudirman, Sudirman, Jakarta",1
Mujigae,4,Korea,100000,"fX Sudirman, Sudirman, Jakarta",1
Dapoer Aceh Melayu,3.8,"Indonesia, Peranakan, Aceh",100000,"Plaza Sentral, Sudirman, Jakarta",1
Restongalam,3.4,"Jawa, Sunda",100000,"fX Sudirman, Sudirman, Jakarta",1
Udonku,3.6,Jepang,100000,"Mid Plaza 1, Sudirman, Jakarta",1
Siam Square,3.3,Thai,100000,"IDX, SCBD, Jakarta",1
Hakata Ikkousha,4.4,"Jepang, Ramen",100000,"Senayan City, Senayan, Jakarta",1
Fit Gourmet Express,3.5,"Makanan Sehat, Fusion",100000,"Senayan, Jakarta",1
Yokunatta,3,"Jepang, Sushi",100000,"Rukan Permata Senayan, Senayan, Jakarta",1
Kyochon,4.1,Korea,100000,"Pacific Place, SCBD, Jakarta",1
Limu Poke,4,Makanan Sehat,100000,"Pacific Place, SCBD, Jakarta",1
Koiki Japanese Eatery,4,Jepang,100000,"SCBD, Jakarta",1
Taliwang Bali,4,"Bali, Lombok, Indonesia",100000,"Pacific Place, SCBD, Jakarta",1
Marco by Chef Marco Lim,3.9,Padang,100000,"Pacific Place, SCBD, Jakarta",1
Ichiban Sushi,3.1,"Sushi, Ramen, Jepang",100000,"fX Sudirman, Sudirman, Jakarta",1
Madam Sichuan,3.4,Chinese,100000,"Citywalk Sudirman, Sudirman, Jakarta",1
Platinum,2.7,"Barat, Indonesia",100000,"Plaza Semanggi, Sudirman, Jakarta",1
Bakmi Berdikari,4.1,"Bakmi, Chinese, Indonesia",100000,"Tebet, Jakarta",1
Antipodean,4.2,"Kopi, Barat, Asia",100000,"Hero Kemang, Kemang, Jakarta",1
Manse Korea Grill,3.7,"Korea, Grill",100000,"Tebet, Jakarta",1
Convivium Kafe Deli,4.2,"Barat, Desserts",100000,"Dharmawangsa, Jakarta",1
Jag's Kitchen,4.4,"Barat, Asia",100000,"Jagakarsa, Jakarta",1
Eatz,4.1,"Arabian, India, Mediterranean, Timur Tengah",100000,"Pondok Indah, Jakarta",1
TRS,3.9,"Asia, Eropa, Barat",100000,"Cilandak Town Square, Fatmawati, Jakarta",1
TanSu,3.7,Indonesia,100000,"Fatmawati, Jakarta",1
Bakoel Bebek,4,"Jawa, Indonesia",100000,"Mampang Prapatan, Jakarta",1
Segoan The Dancing Rice,3.9,"Jawa, Indonesia",100000,"Blok M, Jakarta",1
Mandaga' Canteen,3.9,"Jawa, Padang, Betawi, Indonesia",100000,"Grand Wijaya Center, Dharmawangsa, Jakarta",1
Nampan Bistro,3.8,"Itali, Asia, Barat",100000,"Pasar Minggu, Jakarta",1
Sakabe Buffet,3.9,"Jepang, Grill",100000,"Tebet, Jakarta",1
Do An,3.7,Vietnam,100000,"Epicentrum Walk, Kuningan, Jakarta",1
Tamarind & Lime,3.9,Asia,100000,"Senopati, Jakarta",1
90 Bun Barbekyu House AYCE,3.8,Barbekyu,100000,"Pasar Minggu, Jakarta",1
Wyl's Kitchen - Veranda Hotel At Pakubuwono,4.2,Indonesia,100000,"Veranda Hotel At Pakubuwono, Gandaria, Jakarta",1
Piknik - Arif Inn,4.3,Barat,100000,"Lebak Bulus, Jakarta",1
Egghotel,4,"Asia, Australian, Barat, Kafe",100000,"Setiabudi, Jakarta",1
D'Crystal Terrace,3.2,"Barat, Asia",100000,"Plaza Oleos, Cilandak, Jakarta",1
Balakenam Dapoer Rakjat,3.8,Indonesia,100000,"Tebet, Jakarta",1
Papoea by Nature,3.8,Indonesia,100000,"Blok M, Jakarta",1
ORO Italian Restaurant & Lounge,3.5,"Itali, Amerika, Arabian, Asia, Australian, Desserts, Beverages",100000,"Kemang, Jakarta",1
Oh My Grill,3.8,"Jepang, Barbekyu",100000,"Kemang, Jakarta",1
Te Ti Ba Coffeebar,3.3,Kopi,100000,"Melawai, Jakarta",1
7AM Coffee,3.8,"Kopi, Barat, Indonesia",100000,"Fatmawati, Jakarta",1
Anomali Coffee,2.8,"Kopi, Indonesia, Barat",100000,"Pondok Indah Plaza 6, Pondok Indah, Jakarta",1
Thirsty & Hungry,3.9,"Burger, Barat",100000,"Kemang, Jakarta",1
Omah Pawon,3.1,Jawa,100000,"Cilandak, Jakarta",1
Sophie Authentique,4.2,"French, Kopi, Desserts, Roti",100000,"Fatmawati, Jakarta",1
Taco Local,4.2,Mexican,100000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",1
SRSLY Coffee,4.3,"Kopi, Barat, Itali, Asia",100000,"Fatmawati, Jakarta",1
Dim Sum Inc.,3.9,"Dimsum, Chinese",100000,"Plaza Festival, Kuningan, Jakarta",1
Kamakura Japanese Kafe,4.1,"Kafe, Jepang, Desserts, Barat",100000,"Fatmawati, Jakarta",1
Teratai Restaurant - GP Mega Kuningan Hotel,2.5,"Indonesia, Barat, Eropa",100000,"Best Western Hotel, Kuningan, Jakarta",1
Dea Kafe,3.6,"Barat, Indonesia",100000,"Menara Dea, Kuningan, Jakarta",1
Race2Run Kafe,2.9,"Asia, Barat",100000,"Gatot Subroto, Jakarta",1
Bueno Nasio,3.7,Indonesia,100000,"Menara BTPN, Kuningan, Jakarta",1
Ruma Coffeeatery,3.9,"Indonesia, Kopi",100000,"Senopati, Jakarta",1
Caffe Bene,3.7,"Kafe, Desserts, Kopi, Tea",100000,"Menara Rajawali, Kuningan, Jakarta",1
Kambing Bakar Cairo,4.1,Timur Tengah,100000,"Melawai, Jakarta",1
Playaround Coffee & Kitchen,3.9,"Kafe, Kopi, Indonesia",100000,"Bintaro, Jakarta",1
PappaRich,3.5,Malaysia,100000,"Kemang Village, Kemang, Jakarta",1
Raa Cha,3.9,"Thai, Barbekyu",100000,"Pejaten Village, Pasar Minggu, Jakarta",1
Wangja,3.5,Korea,100000,"Tebet, Jakarta",1
Warung Tekko,2.8,Indonesia,100000,"Plaza Festival, Kuningan, Jakarta",1
WE I Eatery & Drinkery,3.2,Jepang,100000,"South Quarter, Lebak Bulus, Jakarta",1
Toodz House,3.7,"Kopi, Itali, Asia",100000,"Lebak Bulus, Jakarta",1
Trafique Coffee,4.3,Kafe,105000,"Senayan, Jakarta",2
Colette & Lola,4.5,"Desserts, Itali, Barat",105000,"Senopati, Jakarta",2
Apero,3.2,"Itali, Barat",110000,"Citywalk Sudirman, Sudirman, Jakarta",2
The Real Holysteak!,3.9,"Steak, Grill House",110000,"Senayan City, Senayan, Jakarta",2
Thai Street,4.1,Thai,110000,"Plaza Senayan, Senayan, Jakarta",2
Gunung Mas,3.3,"Chinese, Indonesia",110000,"Energy Building, SCBD, Jakarta",2
HONU PokÃ© & Matcha Bar,4.7,"Jepang, Tea, Beverages, Makanan Sehat Food",110000,"Kemang, Jakarta",2
Daging Laut,2.1,"Grill, Seafood",110000,"Fatmawati, Jakarta",2
Excelso,3.2,"Kopi, Amerika, Indonesia",115000,"Senayan City, Senayan, Jakarta",2
Pho 24,3.3,Vietnam,115000,"Senayan City, Senayan, Jakarta",2
Bari-Uma Ramen,4.3,"Ramen, Jepang",115000,"Citywalk Sudirman, Sudirman, Jakarta",2
Warung Leko,3.3,"Jawa, Indonesia",115000,"Citywalk Sudirman, Sudirman, Jakarta",2
Tokyo Skipjack,4.3,"Jepang, Steak",120000,"Blok M, Jakarta",2
Haikara Sushi,3.8,"Jepang, Sushi, Ramen",120000,"Melawai, Jakarta",2
BAE,4.1,"Asia, Barat, Cemilan",125000,"Senayan City, Senayan, Jakarta",2
Commond Grounds,3.6,"Kopi, Barat, Itali, Asia",125000,"Senayan City, Senayan, Jakarta",2
Lekker Djakarta,3.3,"Indonesia, Kopi, Tea",125000,"Senayan, Jakarta",2
Yongdaeri Korea Barbekyu,4.3,"Barbekyu, Korea, Grill House",125000,"SCBD, Jakarta",2
Tori Ya,3.4,Jepang,125000,"Fairgrounds, SCBD, Jakarta",2
miu Ishinabe,3.9,Jepang,125000,"Summitmas Tower, SCBD, Jakarta",2
Batik Kuring,3.3,"Seafood, Indonesia",125000,"SCBD, Jakarta",2
Kin No Taki,2.9,"Jepang, Ramen, Sushi",125000,"Plaza Semanggi, Sudirman, Jakarta",2
Pizza Hut,3.3,"Pizza, Amerika",125000,"Bendungan Hilir, Jakarta",2
Fish & Chips Threehouse,3.8,Barat,125000,"Bendungan Hilir, Jakarta",2
Genki Sushi,3.1,"Jepang, Sushi",125000,"Plaza Senayan, Senayan, Jakarta",2
SaladStop!,4.5,Makanan Sehat,125000,"Senayan City, Senayan, Jakarta",2
Osaka Ohsho,4.1,Jepang,125000,"Plaza Senayan, Senayan, Jakarta",2
Penang Bistro,4.3,"Peranakan, Malaysia",125000,"Senayan, Jakarta",2
Nudles,3.7,Asia,125000,"Senayan City, Senayan, Jakarta",2
Restoran Pulau Dua,3.3,"Seafood, Chinese",125000,"Senayan, Jakarta",2
Pesto Autentico,3.8,"Itali, Barat",125000,"Senayan City, Senayan, Jakarta",2
Ootoya,3.3,"Jepang, Sushi",125000,"Senayan City, Senayan, Jakarta",2
Gopek House,2.5,"Peranakan, Indonesia",125000,"Senayan, Jakarta",2
Mottomoo,4.3,Jepang,125000,"Pacific Place, SCBD, Jakarta",2
Ippudo,4.5,"Jepang, Ramen",125000,"Pacific Place, SCBD, Jakarta",2
Go! Curry,4,"Thai, Jepang, India",125000,"Pacific Place, SCBD, Jakarta",2
Seia,4,Indonesia,125000,"Sudirman, Jakarta",2
Busaba A Thai Kafe,4,Thai,125000,"Pacific Place, SCBD, Jakarta",2
Hakata N Izakaya Gyo Gyo Gyo,3.9,Jepang,125000,"Sudirman, Jakarta",2
Noodle King,4,Korea,125000,"Blossoms Building, SCBD, Jakarta",2
Bunga Rempah,3.3,Indonesia,125000,"Bendungan Hilir, Jakarta",2
Marutama Ra-men,4.7,"Ramen, Jepang",125000,"Sentral Senayan 1, Senayan, Jakarta",2
Bakerzin,4.2,"Barat, Itali, Kue & Roti",125000,"Plaza Senayan, Senayan, Jakarta",2
The Pancake Co. By Dore,4.1,Jepang,125000,"Plaza Senayan, Senayan, Jakarta",2
Denny's,3.5,"Amerika, Kopi",125000,"Senayan City, Senayan, Jakarta",2
Jittlada Restaurant,4.2,Thai,125000,"Senayan City, Senayan, Jakarta",2
Dapoer Podjok,2.6,"Jawa, Sunda",125000,"Senayan City, Senayan, Jakarta",2
Ganesha Ek Sanskriti,4.5,"India Utara, India Selatan, India",125000,"Gedung BRI - Center Park, Bendungan Hilir, Jakarta",2
