Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
HABITUAL COFFEE & EATERY (Roti Bakar Kemang),3.2,"Desserts, Makanan Jalanan",35000,"Bendungan Hilir, Jakarta",1
Arborea Kafe,3,Kopi,35000,"Senayan, Jakarta",1
Duta Bakwan & Cwie Mie Malang,3.3,Indonesia,35000,"Plaza Senayan, Senayan, Jakarta",1
McKafe,3.2,"Kopi, Tea, Desserts",35000,"STC Senayan, Senayan, Jakarta",1
Churrobites: Churros and Coffee,4,"Kopi, Camilan, Barat",35000,"Senayan, Jakarta",1
Kopi Senayan,3.5,Kopi,35000,"Senayan, Jakarta",1
Warung Steak 76,3.5,Steak,35000,"Palmerah, Jakarta",1
Kedai Kopi Kulo,3.7,"Minuman, Kopi",35000,"Bendungan Hilir, Jakarta",1
Roti Bakar Kemang,3.9,"Desserts, Makanan Jalanan",35000,"Kemang, Jakarta",1
Bakmi Jogja 'Mas Tok',3.6,"Bakmi, Jawa",35000,"Pasar Minggu, Jakarta",1
Araneo Coworking Space & Kafe,3.5,"Indonesia, Kopi",35000,"Pasar Minggu, Jakarta",1
Panggang Bro,4,"Indonesia, Bali",35000,"Kemang, Jakarta",1
Kedai Halaman,3.6,"Jawa, Indonesia",35000,"Fatmawati, Jakarta",1
Philocoffee,3.8,"Kopi, Beverages",35000,"Fatmawati, Jakarta",1
Dapoer Roti Bakar,3.7,"Kopi, Desserts",35000,"Pasar Minggu, Jakarta",1
KOPIOLA,3.6,Kopi,35000,"Jagakarsa, Jakarta",1
HAOTE - Sate Maranggi,3.8,"Satay, Sunda, Indonesia",35000,"Senopati, Jakarta",1
Casa Da Vespa Kafe,3.3,"Kopi, Tea, Beverages",35000,"Fatmawati, Jakarta",1
Mie Aceh Seulawah,4.2,"Bakmi, Aceh",38000,"Bendungan Hilir, Jakarta",1
Krispy Kreme,3.4,"Kue & Roti, Desserts",38000,"Senayan City, Senayan, Jakarta",1
Maqui's,3.7,Desserts,38000,"Senayan City, Senayan, Jakarta",1
9 Square Pool & Resto,3.4,"Indonesia, Chinese",38000,"Palmerah, Jakarta",1
